Name,Age,Location,Driving Habit,Common Routes,Vehicle Usage,Incident Report,User Interaction
Michael Freeman,55,East Lisaberg,Speed-Oriented,Rural Roads,Commercial,"{'incident_type': 'Accident', 'details': 'Without newspaper fire wrong less news shake.', 'date': datetime.date(2020, 1, 11), 'service_provider': 'Taylor-Harper'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Different need water place service phone later.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Decade hour teacher easy whole.', 'date': datetime.date(2023, 7, 17)}}"
Justin Castro MD,39,North Aaronmouth,Aggressive,Urban Traffic,Personal,"{'incident_type': 'Maintenance', 'details': 'Cold attack risk store almost.', 'date': datetime.date(2022, 6, 14), 'service_provider': 'Rodriguez-Sanders'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Much music assume office grow candidate dark.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Put manage environment drive loss.', 'date': datetime.date(2023, 9, 6)}}"
Philip Garza,59,Wardchester,Defensive,Urban Traffic,Business,"{'incident_type': 'Emergency Call', 'details': 'If leave play reflect.', 'date': datetime.date(2023, 8, 20), 'service_provider': None}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Both close story cost.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Face movement play.', 'date': datetime.date(2023, 5, 24)}}"
Colleen Garcia,51,Port Ryan,Defensive,Highway,Ride Share,"{'incident_type': 'Emergency Call', 'details': 'Fund always manage single face whole morning rather.', 'date': datetime.date(2022, 4, 8), 'service_provider': 'Smith-Dillon'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Decision eye southern rather financial energy.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'High letter approach off.', 'date': datetime.date(2023, 9, 28)}}"
Brenda Hicks,35,Oconnortown,Safety-Conscious,Urban Traffic,Personal,"{'incident_type': 'Emergency Call', 'details': 'Fall authority speak skill artist.', 'date': datetime.date(2020, 1, 16), 'service_provider': None}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Behind manage song quality.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Later seek plan leader ago city.', 'date': datetime.date(2023, 4, 7)}}"
Charles Thomas,67,West Rachel,Defensive,Urban Traffic,Personal,"{'incident_type': 'Maintenance', 'details': 'Also every street shake evening speech around.', 'date': datetime.date(2021, 8, 18), 'service_provider': 'Sanchez-Swanson'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Light rule year member tax glass nothing.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Evening bag onto federal rule already.', 'date': datetime.date(2023, 7, 31)}}"
Christopher Morris,26,Phillipsborough,Eco-Friendly,Urban Traffic,Business,"{'incident_type': 'Accident', 'details': 'Idea stage third man would.', 'date': datetime.date(2023, 3, 24), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'Our general capital care challenge to general.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Image around customer let standard news while.', 'date': datetime.date(2023, 4, 12)}}"
Kelly Johnson,38,East Michellemouth,Eco-Friendly,Highway,Business,"{'incident_type': 'Accident', 'details': 'Get tree test trip.', 'date': datetime.date(2023, 5, 5), 'service_provider': 'Park Group'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Garden Mrs common act.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Enough professional project analysis avoid.', 'date': datetime.date(2023, 9, 10)}}"
Dennis Jensen,30,Port Nicholasborough,Defensive,Highway,Personal,"{'incident_type': 'Emergency Call', 'details': 'Behavior civil must top sell dark among upon.', 'date': datetime.date(2020, 9, 27), 'service_provider': None}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Major play over election growth.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Would gun idea behind store night.', 'date': datetime.date(2023, 1, 13)}}"
Adam Jacobs,31,Davidview,Defensive,Mixed,Commercial,"{'incident_type': 'Maintenance', 'details': 'Century hope dream.', 'date': datetime.date(2021, 12, 30), 'service_provider': 'Harrison PLC'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Material capital camera argue owner.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Partner down significant writer amount improve.', 'date': datetime.date(2023, 5, 10)}}"
Erika Leonard,31,Davidside,Eco-Friendly,Urban Traffic,Commercial,"{'incident_type': 'System Error', 'details': 'Enjoy safe style.', 'date': datetime.date(2020, 12, 3), 'service_provider': 'Parker-Walter'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Catch heavy group after national.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Outside note child move onto member.', 'date': datetime.date(2023, 4, 21)}}"
Cynthia Ray,44,Bettyport,Speed-Oriented,Highway,Business,"{'incident_type': 'Maintenance', 'details': 'Western ask mention apply project world.', 'date': datetime.date(2021, 7, 21), 'service_provider': None}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'News paper computer why.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Though value admit fine church.', 'date': datetime.date(2023, 1, 6)}}"
Charles Campbell,43,East Graceburgh,Safety-Conscious,Mixed,Commercial,"{'incident_type': 'Maintenance', 'details': 'Care series national.', 'date': datetime.date(2020, 9, 24), 'service_provider': None}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Tax wonder grow research.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Board social operation less ball but right.', 'date': datetime.date(2023, 2, 2)}}"
Daniel Orr,66,Michaelborough,Safety-Conscious,Rural Roads,Ride Share,"{'incident_type': 'System Error', 'details': 'Training bad experience simply hour country animal region.', 'date': datetime.date(2022, 10, 25), 'service_provider': None}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Weight serve line occur power record need.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Court list off field clear wish.', 'date': datetime.date(2023, 9, 27)}}"
Steven Baldwin,65,West Franciscomouth,Safety-Conscious,Urban Traffic,Commercial,"{'incident_type': 'Emergency Call', 'details': 'Area daughter out federal moment.', 'date': datetime.date(2020, 1, 24), 'service_provider': None}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Art various environment Republican such society.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Determine almost treatment heavy cut example third.', 'date': datetime.date(2023, 3, 26)}}"
Mark Sanchez,58,East Luis,Eco-Friendly,Mixed,Ride Share,"{'incident_type': 'Accident', 'details': 'Marriage option someone beyond though within.', 'date': datetime.date(2023, 6, 2), 'service_provider': 'Collins PLC'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Nearly treat sell really alone best thing campaign.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Military less growth just new.', 'date': datetime.date(2023, 6, 13)}}"
Evelyn Miller,46,Coxside,Speed-Oriented,Rural Roads,Personal,"{'incident_type': 'Maintenance', 'details': 'Live adult stop could.', 'date': datetime.date(2022, 6, 1), 'service_provider': 'Crawford, Oliver and Sawyer'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'View and page.'}, 'customer_support': {'inquiry_type': 'Complaint', 'content': 'Say actually nearly keep key society chance.', 'date': datetime.date(2023, 5, 13)}}"
James Pham,23,Santosstad,Eco-Friendly,Highway,Business,"{'incident_type': 'Maintenance', 'details': 'Clearly allow nation tough.', 'date': datetime.date(2021, 2, 27), 'service_provider': 'Finley-Roach'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Table success type affect employee lawyer institution.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Certainly success outside whom education.', 'date': datetime.date(2023, 1, 9)}}"
Shelby Benson,62,Jessicaberg,Speed-Oriented,Urban Traffic,Ride Share,"{'incident_type': 'Emergency Call', 'details': 'Authority left program away to fight peace.', 'date': datetime.date(2020, 6, 1), 'service_provider': 'Christensen-Nelson'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Security ability forget cell.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Coach democratic along season there glass.', 'date': datetime.date(2023, 9, 23)}}"
Gregory Clark,28,Port Danielmouth,Defensive,Rural Roads,Commercial,"{'incident_type': 'Maintenance', 'details': 'Discuss head cold everybody.', 'date': datetime.date(2023, 3, 27), 'service_provider': 'Gonzalez, Moody and Cooper'}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Position important somebody buy no learn movie.'}, 'customer_support': {'inquiry_type': 'Feature Inquiry', 'content': 'Type person strong resource able.', 'date': datetime.date(2023, 7, 21)}}"
Megan Sandoval,34,Lake Taylor,Safety-Conscious,Rural Roads,Business,"{'incident_type': 'Emergency Call', 'details': 'Share imagine call.', 'date': datetime.date(2022, 10, 2), 'service_provider': None}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Food wrong manager.'}, 'customer_support': {'inquiry_type': 'Privacy Concern', 'content': 'Focus own man time whose color summer.', 'date': datetime.date(2023, 10, 13)}}"
Kenneth Andrews,34,Fordmouth,Defensive,Highway,Business,"{'incident_type': 'System Error', 'details': 'Create wall should prove.', 'date': datetime.date(2022, 7, 23), 'service_provider': 'Reid-Brown'}","{'system_settings': {'preference': 'High Privacy', 'customizations': 'Lawyer account important.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Budget magazine federal industry save evidence.', 'date': datetime.date(2023, 5, 28)}}"
Ryan Burgess,31,New Tanyaland,Safety-Conscious,Urban Traffic,Personal,"{'incident_type': 'Maintenance', 'details': 'Partner edge night especially create.', 'date': datetime.date(2022, 2, 11), 'service_provider': None}","{'system_settings': {'preference': 'Balanced', 'customizations': 'Phone move hope stop knowledge traditional remain.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Bring degree which situation picture inside what since.', 'date': datetime.date(2023, 1, 17)}}"
Julia Gamble,63,West Alanton,Safety-Conscious,Mixed,Ride Share,"{'incident_type': 'Accident', 'details': 'Everyone night hot try.', 'date': datetime.date(2021, 11, 23), 'service_provider': 'Harris LLC'}","{'system_settings': {'preference': 'Full Sharing', 'customizations': 'East need year exactly without type.'}, 'customer_support': {'inquiry_type': 'Data Usage', 'content': 'Game rate concern career.', 'date': datetime.date(2023, 9, 15)}}"
