Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
Michael Cameron,32,"Port Stephenton, Gabon",Male,8576.35,63086.9,3921.93,3046.87,Fixed Deposits,Tax Planning,Tax Savings,Partially Implemented,Very Unsatisfied,Unsatisfied,High
Tiffany Silva,53,"Gabrielstad, Bouvet Island (Bouvetoya)",Male,3939.77,22850.65,0.0,953.26,Gold,Retirement Planning,High ROI Investments,Not Implemented,Neutral,Very Unsatisfied,Low
Karen Mcintosh,51,"Frederickfort, Cambodia",Female,5751.37,79795.66,0.0,2654.24,Real Estate,Debt Management,Debt Reduction,Partially Implemented,Neutral,Neutral,Low
Brian Nelson,39,"Martinezside, Ireland",Female,6966.71,45217.02,0.0,3355.37,Real Estate,Debt Management,High ROI Investments,Partially Implemented,Satisfied,Neutral,Low
Julie James,63,"Michaelport, Sierra Leone",Female,5187.9,7766.78,3447.47,4059.88,Mutual Funds,Retirement Planning,High ROI Investments,Implemented,Very Unsatisfied,Very Satisfied,Moderate
Erin Barnes,65,"West Lisaton, North Macedonia",Male,9006.39,43698.34,2039.2,2243.71,Bonds,Savings Plan,Tax Savings,Not Implemented,Very Unsatisfied,Neutral,Moderate
Patrick Howard,23,"Theresaburgh, Togo",Female,8315.78,17576.3,0.0,1402.24,Gold,Savings Plan,Increase Savings,Partially Implemented,Very Unsatisfied,Neutral,Moderate
Antonio Lee,48,"West Loriland, Syrian Arab Republic",Female,7720.4,36635.97,0.0,4796.06,Mutual Funds,Retirement Planning,Retirement Fund Building,Not Implemented,Unsatisfied,Neutral,High
Derek Brown,39,"Donnatown, Zambia",Female,5205.21,78675.59,804.16,3070.44,Bonds,Investment Strategy,Debt Reduction,Not Implemented,Unsatisfied,Very Unsatisfied,High
Heidi Figueroa,19,"Murphymouth, Aruba",Male,4266.01,54289.67,0.0,4966.38,Stocks,Investment Strategy,Debt Reduction,Seeking Further Consultation,Unsatisfied,Very Unsatisfied,High
Jennifer Brown,24,"West Davidport, Aruba",Male,8882.04,25774.7,0.0,3788.3,Real Estate,Retirement Planning,Increase Savings,Implemented,Very Satisfied,Very Unsatisfied,High
Kimberly Garcia,19,"Christophertown, Estonia",Non-binary,4593.6,86081.13,0.0,2697.13,Mutual Funds,Debt Management,Tax Savings,Partially Implemented,Satisfied,Very Satisfied,High
Edward Hartman DDS,33,"Port Savannahborough, Italy",Female,5444.67,65842.53,4475.83,4612.66,Fixed Deposits,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
Jeffrey Thornton,27,"New Bridgetchester, Hungary",Non-binary,4893.39,94130.26,3788.06,4688.44,Cryptocurrency,Investment Strategy,Increase Savings,Partially Implemented,Very Unsatisfied,Unsatisfied,Moderate
Carl Huffman,60,"Amytown, Kazakhstan",Male,4863.87,31423.8,0.0,1020.53,Gold,Tax Planning,Debt Reduction,Partially Implemented,Satisfied,Unsatisfied,High
Richard Smith,23,"West Allison, Suriname",Male,3615.87,63480.61,0.0,2787.28,Mutual Funds,Savings Plan,Debt Reduction,Implemented,Unsatisfied,Very Unsatisfied,Low
Lisa Weber,55,"Randymouth, Faroe Islands",Male,2324.05,10399.52,0.0,3994.04,Fixed Deposits,Savings Plan,Tax Savings,Seeking Further Consultation,Neutral,Satisfied,High
Daniel Johnson,69,"Morenomouth, Colombia",Male,2000.09,35189.02,0.0,4371.24,Stocks,Investment Strategy,Debt Reduction,Not Implemented,Unsatisfied,Very Satisfied,Low
Anthony Wood,46,"Emilybury, Colombia",Non-binary,3495.98,83123.65,0.0,3792.17,Cryptocurrency,Tax Planning,Retirement Fund Building,Seeking Further Consultation,Unsatisfied,Very Satisfied,High
Mrs. Lynn Lopez,54,"Jamesbury, Poland",Female,9869.81,17591.79,1612.26,1872.96,Mutual Funds,Retirement Planning,Retirement Fund Building,Partially Implemented,Very Satisfied,Neutral,High
Mark Baker,54,"West Anthony, Madagascar",Non-binary,2115.0,14162.54,4735.75,4982.27,Bonds,Debt Management,Tax Savings,Partially Implemented,Satisfied,Very Unsatisfied,Moderate
Valerie Davis,48,"New Katherine, Turks and Caicos Islands",Non-binary,6647.01,69544.19,0.0,2360.57,Mutual Funds,Debt Management,Debt Reduction,Implemented,Unsatisfied,Satisfied,Low
Lawrence Barnes,38,"South Lindsey, Cook Islands",Female,5996.14,82554.42,2170.21,2198.15,Cryptocurrency,Investment Strategy,High ROI Investments,Partially Implemented,Unsatisfied,Unsatisfied,Moderate
Amanda Richardson,43,"Craigmouth, Cameroon",Non-binary,5177.49,39056.53,0.0,4745.01,Stocks,Tax Planning,High ROI Investments,Seeking Further Consultation,Unsatisfied,Satisfied,Moderate
