Name,Age,Location,Device Usage Log,Voice Command,Security Footage Description,Home Automation Setting,Network Information,Customer Service Interaction
Tammy Moore,41,"Paulberg, Cambodia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 19:44:52'}",Read my notifications,"{'time': '2023-10-28 05:44:52', 'activity': None}",,"{'IP_address': '125.78.195.32', 'Wifi_network': 'program', 'Device_ID': 'eaf8744c-4d88-4ec2-803f-487e3e1cccbc'}",Device not responding
Nicholas Rice,41,"Port Ryan, Djibouti","{'device': 'Security Camera', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 14:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '203.225.191.97', 'Wifi_network': 'space', 'Device_ID': '3b1b56d1-2b86-46c5-b38e-8ae2a1743ba0'}",
Melissa Walsh,26,"Scottchester, Nepal","{'device': 'Smart Light', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '118.131.192.186', 'Wifi_network': 'them', 'Device_ID': '8d7e8dcb-104e-4d48-a18d-0df3ee8ad956'}",
Anthony Mitchell,43,"New Michaelbury, Czech Republic","{'device': 'Thermostat', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-27 19:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '53.245.201.220', 'Wifi_network': 'read', 'Device_ID': 'af95690d-ee9c-46bf-b5bd-2425fe0cd05c'}",Device not responding
Jose Lowe,29,"Lake Iantown, Latvia","{'device': 'Thermostat', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '102.87.43.210', 'Wifi_network': 'share', 'Device_ID': '3ed7a10a-5f82-496e-934a-8cc7b377438a'}",
Jacob Smith,44,"Weeksport, Bulgaria","{'device': 'Security Camera', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-28 00:44:52', 'activity': 'Smoke detected'}",,"{'IP_address': '181.9.208.83', 'Wifi_network': 'thousand', 'Device_ID': '39ae1e0a-ecfc-4749-8e86-29150d54cf67'}",
Gary Hicks,33,"New Christina, Saint Lucia","{'device': 'Smart Light', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '99.250.14.104', 'Wifi_network': 'half', 'Device_ID': '39c00686-18f0-4a45-844c-7e08edad718f'}",Can I add multiple users?
Christopher Young,61,"East Jeffrey, Liechtenstein","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 13:44:52'}",What’s the weather?,"{'time': '2023-10-27 23:44:52', 'activity': None}",,"{'IP_address': '18.179.56.96', 'Wifi_network': 'morning', 'Device_ID': '4b67fff7-1fe8-4e8a-807a-21ce7e055d0a'}",How do I set up voice recognition?
Jeffrey Logan,59,"Debrachester, Niue","{'device': 'Smart Lock', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-28 04:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '39.109.64.88', 'Wifi_network': 'sit', 'Device_ID': '4ffe1247-c596-4639-ac4d-986326c38a4f'}",
Megan Bradley,22,"South Alejandrashire, Comoros","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 20:44:52'}",Read my notifications,"{'time': '2023-10-27 23:44:52', 'activity': None}",,"{'IP_address': '199.211.121.100', 'Wifi_network': 'special', 'Device_ID': '5a9ad6fc-a636-4bb6-9110-9fc76976f52d'}",How do I set up voice recognition?
Christopher Atkins,66,"Christophershire, Colombia","{'device': 'Security Camera', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '174.253.252.31', 'Wifi_network': 'yes', 'Device_ID': 'b596c01f-fb6b-44d8-9b01-88e87e8855b6'}",
Kelly Robinson,51,"Pearsonberg, Indonesia","{'device': 'Thermostat', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '73.15.140.76', 'Wifi_network': 'part', 'Device_ID': 'a86fb2eb-4390-4dd3-acfe-6031eeed4e6e'}",How do I set up voice recognition?
Jose Harrison,53,"Joshuaville, Kyrgyz Republic","{'device': 'Smart Light', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '166.120.60.112', 'Wifi_network': 'hair', 'Device_ID': 'dd8e74ed-2cec-45f9-b4b7-b625a6f78ac6'}",
Timothy Jacobs,74,"New Brandon, Swaziland","{'device': 'Security Camera', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '178.235.27.5', 'Wifi_network': 'above', 'Device_ID': 'bde38aee-5332-49bc-9c67-4cbd9a1c7cb2'}",
Laura Wright,62,"North Deborah, Peru","{'device': 'Security Camera', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '221.95.27.203', 'Wifi_network': 'standard', 'Device_ID': '7d257df5-9664-4b7d-afd3-4b33a24e1ed0'}",Device not responding
William Smith,35,"Lake Ianhaven, Tuvalu","{'device': 'Smart Lock', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 09:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '27.32.254.44', 'Wifi_network': 'body', 'Device_ID': '569b901e-a549-49bc-8e8e-015df6b26e6d'}",Device not responding
Michelle Johnson,20,"Zacharyberg, Greece","{'device': 'Smart Light', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '16.208.246.114', 'Wifi_network': 'his', 'Device_ID': '941769d8-375b-4982-a171-67ff8d1a4d3e'}",Can I add multiple users?
Amber Warner,44,"Raymondstad, Gibraltar","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-28 02:44:52'}",Read my notifications,"{'time': '2023-10-27 09:44:52', 'activity': None}",,"{'IP_address': '47.211.148.213', 'Wifi_network': 'here', 'Device_ID': '80f9740e-1598-4563-b407-9229bc01c1c7'}",
Mark Johnson,44,"Lake Madisonmouth, Georgia","{'device': 'Security Camera', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 09:44:52'}",,"{'time': '2023-10-27 05:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '28.34.87.125', 'Wifi_network': 'already', 'Device_ID': '4b861d24-5520-4f20-9f19-3ef11a5d94ee'}",
Stephanie Garcia,68,"South Joeton, Israel","{'device': 'Smart Light', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '105.253.141.254', 'Wifi_network': 'tell', 'Device_ID': '4285a5db-f5d2-48f7-804f-dea0081f2dd8'}",Device not responding
Jeffrey Peters,27,"New James, British Virgin Islands","{'device': 'Smart Light', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '96.231.66.119', 'Wifi_network': 'technology', 'Device_ID': '8c3362db-f874-4a05-b930-e31ee91e7657'}",
Melody James,46,"Norrisside, Turkey","{'device': 'Smart Light', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 15:44:52'}",,"{'time': '2023-10-27 07:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '95.247.177.246', 'Wifi_network': 'moment', 'Device_ID': '8d4738dd-6b3c-44dd-afa4-df16c0fbea75'}",
Charles Trevino,31,"Mendezshire, Brazil","{'device': 'Smart Lock', 'usage_start': '2023-10-27 08:44:52', 'usage_end': '2023-10-27 19:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '153.74.166.45', 'Wifi_network': 'gas', 'Device_ID': 'eb9ab0e4-bd15-435e-9a3d-35eceef3d67c'}",
Ashley Harrison,35,"New Kristyland, Bermuda","{'device': 'Security Camera', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '200.32.143.206', 'Wifi_network': 'interest', 'Device_ID': '1bebea11-c8c8-41be-aa6d-c309d20af9ff'}",How do I set up voice recognition?
Robert Elliott,59,"South Jonathanton, Barbados","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 22:44:52'}",Play music,"{'time': '2023-10-28 04:44:52', 'activity': None}",,"{'IP_address': '42.236.178.103', 'Wifi_network': 'some', 'Device_ID': 'f277e300-0148-45b9-878a-8c3813b4adc9'}",Can I add multiple users?
Aaron Fernandez,28,"Leehaven, Marshall Islands","{'device': 'Smart Light', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '108.39.0.36', 'Wifi_network': 'born', 'Device_ID': '1cc70ecd-8be8-433a-9f4e-566c20292be8'}",
Jason Sampson,41,"Catherinetown, Cayman Islands","{'device': 'Smart Lock', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-27 11:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '58.31.160.184', 'Wifi_network': 'page', 'Device_ID': '27ddffcd-426a-47f9-b690-e78e665698a8'}",
Kyle Carter,20,"Cynthialand, Taiwan","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 15:44:52'}",Play music,"{'time': '2023-10-27 17:44:52', 'activity': None}",,"{'IP_address': '163.180.139.105', 'Wifi_network': 'population', 'Device_ID': '245300fe-8957-44c8-99ef-72aaedefdbbf'}",Can I add multiple users?
Melissa Jones,44,"East Nancyside, Bhutan","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-27 11:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 10:44:52', 'activity': None}",,"{'IP_address': '159.39.206.158', 'Wifi_network': 'live', 'Device_ID': '8c7255ce-084e-4922-90ca-fd08965e4ab9'}",Can I add multiple users?
Philip Brown,32,"North Dana, Antigua and Barbuda","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 15:44:52'}",Read my notifications,"{'time': '2023-10-27 13:44:52', 'activity': None}",,"{'IP_address': '42.248.17.126', 'Wifi_network': 'baby', 'Device_ID': '7fd9b5d1-0afb-4b86-bff2-ab33a73d78a8'}",Can I add multiple users?
Daniel Wilson,70,"North Nicholasside, Chad","{'device': 'Thermostat', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '196.156.100.61', 'Wifi_network': 'use', 'Device_ID': '81444035-2346-4afa-8853-806109d5b5ef'}",
Jordan Santos,20,"New Debra, Saint Kitts and Nevis","{'device': 'Smart Lock', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '180.163.123.69', 'Wifi_network': 'himself', 'Device_ID': 'e1d0f917-6c97-4aba-b4cd-c143b40916ac'}",The device is making a strange noise
Valerie Lyons,30,"Lake Dawn, Japan","{'device': 'Thermostat', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '216.219.136.165', 'Wifi_network': 'large', 'Device_ID': '0eedd3fb-a1ad-4b4f-a7a3-3bf107d89544'}",How do I set up voice recognition?
Audrey Yoder,66,"Ramosport, Colombia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-27 16:44:52'}",Read my notifications,"{'time': '2023-10-27 16:44:52', 'activity': None}",,"{'IP_address': '102.215.127.14', 'Wifi_network': 'compare', 'Device_ID': '6936697b-bcb1-4950-ac14-aeeb4d4acaa9'}",
Lawrence Merritt,72,"West Dean, Togo","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 12:44:52', 'usage_end': '2023-10-27 23:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 16:44:52', 'activity': None}",,"{'IP_address': '160.107.2.218', 'Wifi_network': 'better', 'Device_ID': '94067b10-edc5-4821-a428-b27c05373010'}",
Stacey Cummings,53,"Franklinton, Tunisia","{'device': 'Smart Lock', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '144.242.232.203', 'Wifi_network': 'there', 'Device_ID': '9bc8ac6e-baac-4e1d-9d1d-6048ec397996'}",
Tara Turner MD,39,"Lake Valerie, Croatia","{'device': 'Thermostat', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '10.161.162.75', 'Wifi_network': 'effect', 'Device_ID': 'c4ffff1f-579e-4549-a152-f9d0d01b276d'}",
Sydney Mendoza,59,"Myersfort, Slovakia (Slovak Republic)","{'device': 'Smart Lock', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '216.51.235.71', 'Wifi_network': 'young', 'Device_ID': '0fd5e30e-d54e-4e71-8970-9c7783f38564'}",Can I add multiple users?
