Name,Age,Location,Allergens,Dietary Restriction,Dining Experience,User Interaction
Dr. Julie Jensen MD,45,Frostmouth,['Milk'],Gluten Free,"{'restaurant_name': 'Hawkins Group', 'meal_type': 'Drink', 'menu_selection': 'Allow full second approach.', 'special_requests': 'Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Represent activity a yard culture beautiful some.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Thomas Rodriguez,59,Wilsonfurt,['Soy'],Keto,"{'restaurant_name': 'Moore, Brown and Gonzales', 'meal_type': 'Dessert', 'menu_selection': 'Piece play west me care.', 'special_requests': 'Soy', 'feedback': 'Neutral'}","{'staff_interaction': 'Own among center listen development go.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Erica Butler,49,Lake Lisabury,['Milk'],Kosher,"{'restaurant_name': 'Kelly Ltd', 'meal_type': 'Starter', 'menu_selection': 'Early start big discuss most news model.', 'special_requests': 'Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Race thus budget.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Jennifer Harris,55,South Joshua,"['Tree nuts', 'Milk']",Vegetarian,"{'restaurant_name': 'Freeman Group', 'meal_type': 'Starter', 'menu_selection': 'Building pretty human race sign.', 'special_requests': 'Tree nuts, Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Adult protect drug American eye such go.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Kathy Kim,25,Virginiahaven,"['Tree nuts', 'Peanuts', 'Egg']",Vegetarian,"{'restaurant_name': 'Nixon, Hutchinson and Hunt', 'meal_type': 'Dessert', 'menu_selection': 'Size expert cause none note reveal film.', 'special_requests': 'Tree nuts, Peanuts, Egg', 'feedback': 'Neutral'}","{'staff_interaction': 'Father set morning.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Bryan Curtis,35,Jeremiahborough,"['Shellfish', 'Fish', 'Wheat']",Vegan,"{'restaurant_name': 'Parrish LLC', 'meal_type': 'Main Course', 'menu_selection': 'Play person gas they.', 'special_requests': 'Shellfish, Fish, Wheat', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'More agreement participant often.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Teresa Ritter,18,Lake Jamestown,['Egg'],Kosher,"{'restaurant_name': 'Washington, Miller and Webster', 'meal_type': 'Drink', 'menu_selection': 'Real executive say mention world upon make discuss.', 'special_requests': 'Egg', 'feedback': 'Neutral'}","{'staff_interaction': 'Operation hand here offer federal free.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Charlene Rodriguez,54,South Bob,['Peanuts'],Low Fat,"{'restaurant_name': 'Anderson, Baldwin and Banks', 'meal_type': 'Main Course', 'menu_selection': 'Health do senior total.', 'special_requests': 'Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Push position dream detail chair life.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Bernard Anderson,25,Stanleyborough,"['Tree nuts', 'Egg']",Kosher,"{'restaurant_name': 'Lee, Williams and Rodriguez', 'meal_type': 'Dessert', 'menu_selection': 'Stuff write I physical science pull.', 'special_requests': 'Tree nuts, Egg', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Development evening against car.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
John Scott,60,Michaelshire,[],Vegan,"{'restaurant_name': 'Guerra-Chan', 'meal_type': 'Starter', 'menu_selection': 'Him part relate among.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Result goal include ground.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Mr. Ivan Jones III,19,New Michael,[],Vegetarian,"{'restaurant_name': 'Santos, Hunter and Haynes', 'meal_type': 'Dessert', 'menu_selection': 'Protect anyone guess once world.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Current agency character thousand support.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Joshua Matthews,25,South Steven,"['Shellfish', 'Wheat', 'Fish']",Vegetarian,"{'restaurant_name': 'Cole-Terry', 'meal_type': 'Main Course', 'menu_selection': 'Realize actually allow amount point.', 'special_requests': 'Shellfish, Wheat, Fish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Look various same out hit authority skill.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
