Name,Age,Nationality,Travel Preference,Loyalty Program Status,Past Travel Detail,Payment Detail,Booking Pattern,User Feedback
Brian Vargas,53,Croatia,Eco-friendly,Platinum,"{'destination': 'Lake Tonyashire', 'duration': '11 days', 'hotel_stay': 'Hardin Ltd', 'activity': 'Shopping'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 2, 12), 'amount': '$9768'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 4, 'comments': 'Study work reality leader drive protect.'}"
Tracy Glenn,18,Palau,Eco-friendly,Gold,"{'destination': 'Lake Catherinechester', 'duration': '3 days', 'hotel_stay': 'Bryant, Romero and Smith', 'activity': 'Sightseeing'}","{'method': 'PayPal', 'transaction_date': datetime.date(2022, 8, 15), 'amount': '$4261'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Campaign take magazine friend treat position wife.'}"
Desiree Franklin,21,Brunei Darussalam,Luxury,Platinum,"{'destination': 'Robertfort', 'duration': '12 days', 'hotel_stay': 'Hicks, Gill and Parsons', 'activity': 'Beach'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 5, 7), 'amount': '$9668'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Participant oil system why book region.'}"
Kevin Bowman,45,Oman,Luxury,Silver,"{'destination': 'New Bridget', 'duration': '6 days', 'hotel_stay': 'Spencer-Parrish', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 10, 24), 'amount': '$5082'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 3, 'comments': 'Candidate she hold south age information pass.'}"
Michael Johnson,36,Netherlands Antilles,Business,Platinum,"{'destination': 'New Joel', 'duration': '3 days', 'hotel_stay': 'Brown LLC', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 6, 14), 'amount': '$750'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 3, 'comments': 'Dinner per any itself someone.'}"
Jay Mcintyre,25,Benin,Budget,Bronze,"{'destination': 'East Cindybury', 'duration': '5 days', 'hotel_stay': 'Todd-Nelson', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 12, 11), 'amount': '$5303'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 3, 'comments': 'Class head represent hair nice myself.'}"
Anthony Christian,28,Gibraltar,Budget,Bronze,"{'destination': 'Port Patriciaton', 'duration': '8 days', 'hotel_stay': 'Cox-Vaughn', 'activity': 'Shopping'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 10, 20), 'amount': '$6168'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 5, 'comments': 'Activity try doctor help doctor follow leave.'}"
Steven Banks,53,Aruba,Luxury,Gold,"{'destination': 'Gibsonbury', 'duration': '1 days', 'hotel_stay': 'Patel, Davis and Rivera', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 6, 21), 'amount': '$5985'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 1, 'comments': 'Carry data series behavior.'}"
Tammy Ho,23,Maldives,Eco-friendly,Gold,"{'destination': 'Manningborough', 'duration': '8 days', 'hotel_stay': 'Montgomery and Sons', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 10, 15), 'amount': '$5281'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 1, 'comments': 'A determine even table focus.'}"
Carlos Reyes,47,Italy,Luxury,Gold,"{'destination': 'Terrimouth', 'duration': '5 days', 'hotel_stay': 'Watson Ltd', 'activity': 'Museum visit'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 5, 19), 'amount': '$2185'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Chair beat player almost white minute begin produce.'}"
